	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
G0088	Adm iv drug 1st home visit	A		NI21			
G0089	Adm subq drug 1st home visit	A		NI21			
G0090	Adm iv chemo 1st home visit	A		NI21			
G0101	Ca screen;pelvic/breast exam	S	5822	CP17			
G0102	Prostate ca screening; dre	N					
G0103	Psa screening	A		CP16			
G0104	Ca screen;flexi sigmoidscope	T	5311				
G0105	Colorectal scrn; hi risk ind	T	5311	CF17			
G0106	Colon ca screen;barium enema	S	5571	PD25			
G0108	Diab manage trn  per indiv	A					
G0109	Diab manage trn ind/group	A					
G0117	Glaucoma scrn hgh risk direc	S	5731	CP20			
G0118	Glaucoma scrn hgh risk direc	S	5732	CP16			
G0120	Colon ca scrn; barium enema	S	5572	PD25			
G0121	Colon ca scrn not hi rsk ind	T	5311	CF17			
G0122	Colon ca scrn; barium enema	E1		PD25			
G0123	Screen cerv/vag thin layer	A		CP16			
G0124	Screen c/v thin layer by md	B					
G0127	Trim nail(s)	N	5733	CP16			
G0128	Corf skilled nursing service	B					
G0129	Php/iop ot service	P	5853				
G0130	Single energy x-ray study	S	5522	CP18			
G0136	Adm of soc dtr assess 5-15 m	S	5821	NP24			
G0137	"Inten outpt svs,min 9 pr 7 d"	A		NP24			
G0138	Iv cipaglucosidase alfa-atga	S	1508	NA24			
G0140	Nav srv peer sup 60 min pr m	S	5822	NI24			
G0141	"Scr c/v cyto,autosys and md"	B					
G0143	"Scr c/v cyto,thinlayer,rescr"	A		CP16			
G0144	"Scr c/v cyto,thinlayer,rescr"	A		CP16			
G0145	"Scr c/v cyto,thinlayer,rescr"	A		CP16			
G0146	Nav srv peer sup add 30 pr m	N		NI24			
G0147	"Scr c/v cyto, automated sys"	A		CP16			
G0148	"Scr c/v cyto, autosys, rescr"	A		CP16			
G0151	"Hhcp-serv of pt,ea 15 min"	B					
G0152	"Hhcp-serv of ot,ea 15 min"	B					
G0153	"Hhcp-svs of s/l path,ea 15mn"	B					
G0155	"Hhcp-svs of csw,ea 15 min"	B					
G0156	"Hhcp-svs of aide,ea 15 min"	B					
G0157	Hhc pt assistant ea 15	B		NI11			
G0158	Hhc ot assistant ea 15	B		NI11			
G0159	Hhc pt maint ea 15 min	B		NI11			
G0160	Hhc occup therapy ea 15	B		NI11			
G0161	Hhc slp ea 15 min	B		NI11			
G0162	"Hhc rn e&m plan svs, 15 min"	B		NI11			
G0166	"Extrnl counterpulse, per tx"	N	5734	CF18			
G0168	Wound closure by adhesive	B					
G0175	"Opps service,sched team conf"	V	5024	CP17			
G0176	Opps/php/iop; activity thrpy	P	5853	CP9			
G0177	Opps/php/iop; train & educ	N		CP8			
G0179	Md recertification hha pt	M					
G0180	Md certification hha patient	M					
G0181	Home health care supervision	M					
G0182	Hospice care supervision	M					
G0186	"Dstry eye lesn,fdr vssl tech"	T	5481	CP15			
G0202	Scr mammo bi incl cad	A		PD18			
G0204	Dx mammo incl cad bi	A		PD18			
G0206	Dx mammo incl cad uni	A		PD18			
G0219	Pet img wholbod melano nonco	E1					
G0235	Pet not otherwise specified	S	5591	NA5			
G0237	Therapeutic procd strg endur	S	5731	CP20			
G0238	"Oth resp proc, indiv"	S	5731	CP20			
G0239	"Oth resp proc, group"	S	5732	CF17			
G0245	Initial foot exam pt lops	V	5012	CF15			
G0246	Followup eval of foot pt lop	V	5012	CF15			
G0247	Routine footcare pt w lops	N	5051	CP15			
G0248	Demonstrate use home inr mon	V	5012	CP14			
G0249	Provide inr test mater/equip	V	5012	CP14			
G0250	Md inr test revie inter mgmt	M					
G0252	Pet imaging initial dx	E1					
G0255	Current percep threshold tst	E1					
G0257	Unsched dialysis esrd pt hos	S	5401				
G0259	Inject for sacroiliac joint	N					
G0260	Inj for sacroiliac jt anesth	T	5442	CP16			
G0268	Removal of impacted wax md	N		CP8			
G0269	Occlusive device in vein art	N					
G0270	Mnt subs tx for change dx	A					
G0271	Group mnt 2 or more 30 mins	A					
G0276	Pild/placebo control clin tr	J1	5114	NI15			
G0277	"Hbot, full body chamber, 30m"	S	5061	NI15			
G0278	"Iliac art angio,cardiac cath"	N					
G0279	"Tomosynthesis, mammo"	A		NI15			
G0281	Elec stim unattend for press	A					
G0282	Elect stim wound care not pd	E1					
G0283	Elec stim other than wound	A					
G0288	"Recon, cta for surg plan"	N		CF8			
G0289	"Arthro, loose body + chondro"	N					
G0293	"Non-cov surg proc,clin trial"	N	5732	CP15			
G0294	"Non-cov proc, clinical trial"	N	5732	CP15			
G0295	Electromagnetic therapy onc	E1					
G0296	Visit to determ ldct elig	S	5822	NP16			
G0297	Ldct for lung ca screen	S	5521	PD21			
G0299	Hhs/hospice of rn ea 15 min	B		NI16			
G0300	Hhs/hospice of lpn ea 15 min	B		NI16			
G0302	Pre-op service lvrs complete	S	5723	CP19			
G0303	Pre-op service lvrs 10-15dos	S	5722	CP21			
G0304	Pre-op service lvrs 1-9 dos	S	5723	CP19			
G0305	Post op service lvrs min 6	S	5723	CP19			
G0306	Cbc/diffwbc w/o platelet	N		CP16			
G0307	Cbc without platelet	N		CP16			
G0308	180 d implant glucose sensor	A		D23 			
G0309	Rem/inser glu sensor dif sit	A		D23 			
G0310	Immunize counsel 5-15 min	E1 		NO22			
G0311	Immunize counsel 16-30 mins	E1 		NO22			
G0312	Immunize couns < 21yr 5-15 m	E1 		NO22			
G0313	Immunize couns < 21yr 6-30 m	E1 		NO22			
G0314	Counsel immune <21 16-30 m	E1		NO22			
G0315	Counsel immune <21  5-15 m	E1		NO22			
G0316	Prolong inpt eval add15 m	N		NP23			
G0317	Prolong nursin fac eval 15m	B		NP23			
G0318	Prolong home eval add 15m	B		NP23			
G0320	Two-way audio and video hhs	A		NP23			
G0321	Audio-only hhs	A		NP23			
G0322	Home h physio data collec tr	A		NP23			
G0323	Care manage beh svs 20mins	S	5821	NP23			
G0327	Colon ca scrn;bld-bsd biomrk	A		NJ21			
G0328	Fecal blood scrn immunoassay	A		CP16			
G0329	Electromagntic tx for ulcers	A					
G0330	Facility svs dental rehab	J1	5164	NI23			
G0333	Dispense fee initial 30 day	M		NI6			
G0337	Hospice evaluation preelecti	B					
G0339	"Robot lin-radsurg com, first"	B					
G0340	Robt lin-radsurg fractx 2-5	B					
G0341	Percutaneous islet celltrans	C					
G0342	Laparoscopy islet cell trans	C					
G0343	Laparotomy islet cell transp	C					
G0364	Bone marrow aspirate &biopsy	N		PD18			
G0365	Vessel mapping hemo access	S	5522	PD20			
G0372	Md service required for pmd	M		NI6			
G0378	Hospital observation per hr	N		NI6			
G0379	Direct refer hospital observ	J2	5025	NI6			
G0380	Lev 1 hosp type b ed visit	J2	5031	NI7			
G0381	Lev 2 hosp type b ed visit	J2	5032	NI7			
G0382	Lev 3 hosp type b ed visit	J2	5033	NI7			
G0383	Lev 4 hosp type b ed visit	J2	5034	NI7			
G0384	Lev 5 hosp type b ed visit	J2	5035	NI7			
G0390	Trauma respons w/hosp criti	S	5045	NI7			
G0396	Alcohol/subs interv 15-30mn	S	5821	NI8			
G0397	Alcohol/subs interv >30 min	S	5823	CP21			
G0398	Home sleep test/type 2 porta	S	5721	NJ8			
G0399	Home sleep test/type 3 porta	S	5721	NJ8			
G0400	Home sleep test/type 4 porta	S	5722	NJ8			
G0402	Initial preventive exam	V	5012	NI9			
G0403	Ekg for initial prevent exam	M		NI9			
G0404	Ekg tracing for initial prev	S	5731	NI9			
G0405	Ekg interpret & report preve	B		NI9			
G0406	Inpt/tele follow up 15	B		NI9			
G0407	Inpt/tele follow up 25	B		NI9			
G0408	Inpt/tele follow up 35	B		NI9			
G0409	Corf related serv 15 mins ea	B		NI9			
G0410	Grp psych php/iop 45-50	P	5853	NI9			
G0411	Interactive grp psyc php/iop	P	5853	NI9			
G0412	Open tx iliac spine uni/bil	C		NI9			
G0413	Pelvic ring fracture uni/bil	J1	5114	NI9			
G0414	Pelvic ring fx treat int fix	C		NI9			
G0415	Open tx post pelvic fxcture	C		NI9			
G0416	"Prostate biopsy, any mthd"	N	5673	CP16			
G0420	Ed svc ckd ind per session	A		NI10			
G0421	Ed svc ckd grp per session	A		NI10			
G0422	Intens cardiac rehab w/exerc	S	5771	NI10			
G0423	Intens cardiac rehab no exer	S	5771	NI10			
G0424	Pulmonary rehab w exer	S	5733	PD22			
G0425	Inpt/ed teleconsult30	B		NI10			
G0426	Inpt/ed teleconsult50	B		NI10			
G0427	Inpt/ed teleconsult70	B		NI10			
G0428	Collagen meniscus implant	E1		NJ10			
G0429	Dermal filler injection(s)	T	5054	NJ10			
G0432	Eia hiv-1/hiv-2 screen	A		NA10			
G0433	Elisa hiv-1/hiv-2 screen	A		NA10			
G0435	Oral hiv-1/hiv-2 screen	A		NA10			
G0438	"Ppps, initial visit"	A		NI11			
G0439	"Ppps, subseq visit"	A		NI11			
G0442	Annual alcohol screen 15 min	S	5821	NI12			
G0443	Brief alcohol misuse counsel	S	5822	NI12			
G0444	Depression screen annual	S	5821	NI12			
G0445	High inten beh couns std 30m	S	5822	NI12			
G0446	Intens behave ther cardio dx	S	5821	NI12			
G0447	Behavior counsel obesity 15m	S	5822	NI12			
G0448	Place perm pacing cardiovert	B		NI12			
G0451	Devlopment test interpt&rep	S	5822	NI12			
G0452	Molecular pathology interpr	B		NI13			
G0453	Cont intraop neuro monitor	N		NI13			
G0454	Md document visit by npp	B		NI13			
G0455	Fecal microbiota prep instil	T	5311	NI13			
G0458	Ldr prostate brachy comp rat	B		NI13			
G0459	Telehealth inpt pharm mgmt	B		NA13			
G0460	Autolog prp not diab ulcer	T	5054	NJ13			
G0463	Hospital outpt clinic visit	J2	5012	NI14			
G0465ÿ	Autolog prp diab wound ulcer	T	5054	NI22			
G0466	Fqhc visit new patient	A		NO14			
G0467	"Fqhc visit, estab pt"	A		NO14			
G0468	"Fqhc visit, ippe or awv"	A		NO14			
G0469	"Fqhc visit, mh new pt"	A		NO14			
G0470	"Fqhc visit, mh estab pt"	A		NO14			
G0471	Ven blood coll snf/hha	A		NI15			
G0472	Hep c screen high risk/other	A		NI15			
G0473	Group behave couns 2-10	S	5821	NI15			
G0475	Hiv combination assay	A		NI16			
G0476	Hpv combo assay ca screen	A		NI16			
G0480	Drug test def 1-7 classes	N		NA15			
G0481	Drug test def 8-14 classes	N		NA15			
G0482	Drug test def 15-21 classes	N		NA15			
G0483	Drug test def 22+ classes	N		NA15			
G0490	"Home visit rn, lpn by rhc/fq"	A		NO16			
G0491	Dialysis acu kidney no esrd	B		NI17			
G0492	Md/oth eval acut kid no esrd	B		NI17			
G0493	Rn care ea 15 min hh/hospice	B		NI17			
G0494	Lpn care ea 15min hh/hospice	B		NI17			
G0495	Rn care train/edu in hh	B		NI17			
G0496	Lpn care train/edu in hh	B		NI17			
G0498	Chemo extend iv infus w/pump	S	5694	NI17			
G0499	Hepb screen high risk indiv	A		NI17			
G0500	Mod sedat endo service >5yrs	N		NI17			
G0501	Resource-inten svc during ov	N		NI17			
G0502	"Init psych care manag, 70min"	S	5822	PD18			
G0503	"Subseq  psych care man,60mi"	S	5822	PD18			
G0504	Init/sub psych care add 30 m	N		PD18			
G0505	Cog/func assessment  outpt	S	5822	PD18			
G0506	Comp asses care plan ccm svc	N		NI17			
G0507	Care manage serv minimum 20 	S	5821	PD18			
G0508	Crit care telehea consult 60	B		NI17			
G0509	Crit care telehea consult 50	B		NI17			
G0511	Ccm/bhi by rhc/fqhc 20min mo	A		NP18			
G0512	Cocm by rhc/fqhc 60 min mo	A		NP18			
G0513	"Prolong prev svcs, first 30m"	N		NI18			
G0514	"Prolong prev svcs, addl 30m"	N		NI18			
G0515	Cognitive skills development	A		PD20			
G0516	"Insert drug del implant, >=4"	N	5735	NI18			
G0517	Remove drug implant	N	5735	NI18			
G0518	Remove w insert drug implant	N	5735	NI18			
G0519	New pt-cg dyad dem low cmplx	M		NJ24			
G0520	New pt-cg dyad dem mod cmplx	M		NJ24			
G0521	New pt-cg dyad dem hig cmplx	M		NJ24			
G0522	Mgt nw pt dementia low cmplx	M		NJ24			
G0523	Mgt nw pt dem mod-high cmplx	M		NJ24			
G0524	Est pt-cg dyad dem low cmplx	M		NJ24			
G0525	Est pt-cg dyad dem mod cmplx	M		NJ24			
G0526	Est pt-cg dyad dem hig cmplx	M		NJ24			
G0527	Mgt est pt dmentia low cmplx	M		NJ24			
G0528	Mgt est pt dem mod-hi cmplx	M		NJ24			
G0529	"In home respite care, 4 hr u"	M		NJ24			
G0530	"Adult daycare center, 8 hr u"	M		NJ24			
G0531	"Fclty-based respite, 24 hr u"	M		NJ24			
G0532	Take home supp nasal spray	A		NI25			
G0533	Buprenorphone inj weekly	A		NI25			
G0534	Coordinated care/or referral 	A		NI25			
G0535	Pt navigat svs direct/ref	A		NI25			
G0536	Peer recover support svs	A		NI25			
G0537	Risk ascvd tst once pr 12 mo	S	5821	NI25			
G0538	Ascvd rsk mng clin stf pr mo	S	5822	NI25			
G0539	Initial care training 30 m	A		NI25			
G0540	Train for caregiver add 15	A		NI25			
G0541	No pt prsnt train initial 30	A		NI25			
G0542	No pt prsnt train add 15	A		NI25			
G0543	Group train w/o patient 	A		NI25			
G0544	Post d/c phone follow up	S	5822	NP25			
G0545	Inherent visit to inpt	B		NI25			
G0546	Phone/internet ehr assess	M		NI25			
G0547	Phone/internet svs 11-20 m	M		NI25			
G0548	Phone/inter svs 21-30 m	M		NI25			
G0549	Phone/inter for treat>31m	M		NI25			
G0550	Phone/inter for dx/treat >5m	M		NI25			
G0551	Phn/intr svs fr dx treat 30m	M		NI25			
G0552	Supply of digital device 	V	5012	NI25			
G0553	Monthly tx for dmht 20mins	V	5012	NI25			
G0554	Add 20 m of monthly tx	N		NI25			
G0555	Replacment pt electronic sys	S	5724	NP25			
G0556	Adv prim care mgmt lvl 1	S	5821	NI25			
G0557	Adv prim care mgmt lvl 2	S	5821	NI25			
G0558	Adv prim care mgmt lvl 3	S	5822	NI25			
G0559	Unrelat prac follow up visit	B		NI25			
G0560	Safety plan interven	A		NI25			
G0561	"Temp tube delivery, unil"	N		NI25			
G0562	Complex simulation w/pet-ct	S	1521	NI25			
G0563	Sbrt w/positron emission del	S	1525	NI25			
G0564	365 d implant glucose sensor	T	1561	NI25			
G0565	Rem/ins glu snsr 365 dif sit	T	1561	NI25			
G0659	Drug test def simple all cl	N		NI17			
G0913	Improve visual funct	M		NI12			
G0914	Survey not complete	M		NI12			
G0915	No improve visual funct	M		NI12			
G0916	Satisfy with care	M		NI12			
G0917	Care survey not complete	M		NI12			
G0918	No satisfy with care	M		NI12			
G1000	Cdsm applied pathways	E1		DA20			
G1001	Cdsm evicore	E1		NP20			
G1002	Cdsm medcurrent	E1		NP20			
G1003	Cdsm medicalis	E1		NP20			
G1004	Cdsm ndsc	E1		NP20			
G1005	Cdsm nia	E1		D21			
G1006	Cdsm test approp	E1		D21			
G1007	Cdsm aim	E1		NP20			
G1008	Cdsm cranberry pk	E1		NP20			
G1009	Cdsm sage health	E1		DA22			
G1010	Cdsm stanson	E1		NP20			
G1011	Cdsm qualified nos	E1		NP20			
G1012	Cdsm agilemd	E1		NA20			
G1013	Cdsm evidencecare	E1		NA20			
G1014	Cdsm inveniqa	E1		NA20			
G1015	Cdsm reliant	E1		NA20			
G1016	Cdsm speed of care	E1		NA20			
G1017	Cdsm healthhelp	E1		NA20			
G1018	Cdsm infinx	E1		NA20			
G1019	Cdsm logicnets	E1		NA20			
G1020	Cdsm curbside	E1		NO20			
G1021	Cdsm ehealthline	E1		NO20			
G1022	Cdsm intermountain	E1		NO20			
G1023	Cdsm persivia	E1		NO20			
G1024	Cdsm radrite	E1		NI22			
G1025	Pt mnth 1 mcp prov	M 		NI22			
G1026	Pt hemo > 3mo	M 		NI22			
G1027	Pt hemo < 3mo	M 		NI22			
G1028	Take home supply 8mg per 0.1 	A 		NI22			
G2000	Blinded conv. tx mdd clin tr	S	5723	NI19			
G2001	Post d/c h vst new pt 20 m	B		NA19			
G2002	Post-d/c h vst new pt 30 m	B		NA19			
G2003	Post-d/c h vst new pt 45 m	B		NA19			
G2004	Post-d/c h vst new pt 60 m	B		NA19			
G2005	Post-d/c h vst new pt 75 m	B		NA19			
G2006	Post-d/c h vst ext pt 20 m	B		NA19			
G2007	Post-d/c h vst ext pt 30 m	B		NA19			
G2008	Post-d/c h vst ext pt 45 m	B		NA19			
G2009	Post-d/c h vst ext pt 60 m	B		NA19			
G2010	Remot image submit by pt	B		NI19			
G2011	Alcohol/sub misuse assess	S	5731	NI19			
G2012	Brief check in by md/qhp	B		D25			
G2013	Post-d/c h vst ext pt 75 m	B		NA19			
G2014	Post-d/c care plan overs 30m	B		NA19			
G2015	Post-d/c care plan overs 60m	B		NA19			
G2020	Hi inten serv for sip model	A		NA21			
G2021	Hea care pract tx in place	E1		NP20			
G2022	"Benef refuses service, mod"	E1		NP20			
G2023	Specimen collect covid-19	B		PD24			
G2024	Spec coll snf/lab covid-19	B		PD24			
G2025	Dis site tele svcs rhc/fqhc	A		NJ20			
G2058	Ccm add 20min	N		PD21			
G2061	Qual nonmd est pt 5-10m	A		D21			
G2062	Qual nonmd est pt 11-20m	A		D21			
G2063	Qual nonmd est pt 21>min	A		D21			
G2064	Md mang high risk dx 30	M		PD22			
G2065	Clin mang h risk dx 30	S	5822	PD22			
G2066	Inter devc remote 30d	N	5741	D24			
G2067	Med assist tx meth wk	A		NP20			
G2068	Med assist tx bupre oral	A		NP20			
G2069	Med assist tx inject	A		NP20			
G2070	Med assist tx implant	A		D25			
G2071	Med tx remove implant	A		D25			
G2072	Med tx insert/remove imp	A		D25			
G2073	Med tx naltrexone	A		NP20			
G2074	Med assist tx no drug	A		NP20			
G2075	Med tx meds nos	A		NP20			
G2076	Intake act w/med exam	A		NP20			
G2077	Periodic assessment	A		NP20			
G2078	Take-home meth	A		NP20			
G2079	Take-hom buprenorphine	A		NP20			
G2080	Add 30 mins counsel	A		NP20			
G2081	Pt 66+ snp or ltc pos > 90d	M 		NI20			
G2082	Visit esketamine 56m or less	S	1513	NI20			
G2083	"Visit esketamine, > 56m"	S	1516	NI20			
G2086	Off base opioid tx 70min	S	5823	NP20			
G2087	"Off base opioid tx, 60 m"	S	5823	NP20			
G2088	"Off base opioid tx, add30"	N		NP20			
G2089	A1c level 7 to 9%	M 		D21			
G2090	Pt 66+ frailty and med dem	M 		NI20			
G2091	Pt 66+ frailty and adv ill	M 		NI20			
G2092	Ace arb arni	M 		NI20			
G2093	Med doc rsn no ace arn arni	M 		NI20			
G2094	Pt rsn no ace arn arni	M 		NI20			
G2095	Sys rsn no ace arn arni	M 		D23			
G2096	No rsn ace arb arni	M 		NI20			
G2097	Dx uri 3d after other dx	M 		NI20			
G2098	Pt 66+ frailty and med dem	M 		NI20			
G2099	Pt 66+ frailty and adv ill	M 		NI20			
G2100	Pt 66+ frailty and med dem	M 		NI20			
G2101	Pt 66+ frailty and adv ill	M 		NI20			
G2102	Dil retinal eye exam	M 		D21			
G2103	7 stereo photos interpret	M 		D21			
G2104	Eye img valid w/7 stereo	M 		D21			
G2105	Pt 66+ snp or ltc pos > 90d	M 		NI20			
G2106	Pt 66+ frailty and med dem	M 		NI20			
G2107	Pt 66+ frailty and adv ill	M 		NI20			
G2108	Pt 66+ snp or ltc pos > 90d	M 		D24 			
G2109	Pt 66+ frailty and med dem	M 		D24 			
G2110	Pt 66+ frailty and adv ill	M 		D24 			
G2112	Pred<=5 mg ra glu <6m	M 		NI20			
G2113	"Pred>5 mg >6m, no chg da"	M 		NI20			
G2114	Pt 66-80 frailty and med dem	M 		D21			
G2115	Pt 66-80 frailty and med dem	M 		NI20			
G2116	Pt 66-80 frailty and adv ill	M 		NI20			
G2117	Pt 66-80 frailty and adv ill	M 		D21			
G2118	Pt 81+ frailty	M 		NI20			
G2119	Calc vitd opt	M 		D21			
G2120	No calc vitd opt	M 		D21			
G2121	Psy dep anx ap and icd asse	M 		NI20			
G2122	Psy/dep/anx/apandicd noasse	M 		NI20			
G2123	Pt 66-80 frailty med dem	M 		D21			
G2124	Pt 66-80 frailty adv ill	M 		D21			
G2125	Pt 81+ frailty	M 		NI20			
G2126	Pt 66-80 frailty and adv ill	M 		NI20			
G2127	Pt 66-80 frailty and med dem	M 		NI20			
G2128	No aspirin med rsn	M 		NI20			
G2129	No bp outpt	M 		NI20			
G2130	Pt 66+ lt inst > 90	M 		D21			
G2131	Pt 81+ frailty	M 		D21			
G2132	Pt 66-80 frailty and med dem	M 		D21			
G2133	Pt 66-80 frailty and adv ill	M 		D21			
G2134	Pt 66+ frailty and med dem	M 		D21			
G2135	Pt 66+ frailty and adv ill	M 		D21			
G2136	Bk pain vas 6-20wk <= 3	M 		NI20			
G2137	Bk pain vas 6-20wk > 3	M 		NI20			
G2138	Bk pain vas 9-15mo <= 3	M 		NI20			
G2139	Bk pain vas 9-15mo > 3	M 		NI20			
G2140	Leg pain vas 6-20wk <= 3	M 		NI20			
G2141	Leg pain vas 6-20wk > 3	M 		NI20			
G2142	Fs odi 9-15mo postop<= 22	M 		NI20			
G2143	Fs odi 9-15mo > 22	M 		NI20			
G2144	Fs odi 6-20wk postop <= 22	M 		NI20			
G2145	Fsodi 6-20wk >22 or chg 30pt	M 		NI20			
G2146	Leg pain vas 9-15mo <= 3	M 		NI20			
G2147	Leg pain vas 9-15mo > 3	M 		NI20			
G2148	Mpm used	M 		NI20			
G2149	No mpm med rsn	M 		NI20			
G2150	No mpm	M 		NI20			
G2151	Dx degen neuro	M 		NI20			
G2152	Res change sc >=0	M 		NI20			
